#Scan:    100            N1530 2021-09-20 +07 35 52.0
#          RADIO                  Ta    
#        km/s-BAR                 I
    3603.7027903263419830      0.0324674
    3606.7218646592627920      0.0400204
    3609.7409389921499496      0.0365463
    3612.7600133251039551      0.0286553
    3615.7790876580243093      0.0303327
    3618.7981619909783149      0.0424304
    3621.8172363238991238      0.0389300
    3624.8363106568531293      0.0312555
    3627.8553849897402870      0.0450734
    3630.8744593226942925      0.0321566
    3633.8935336556146467      0.0369938
    3636.9126079885686522      0.0311437
    3639.9316823214894612      0.0286424
    3642.9507566544430119      0.0272146
    3645.9698309873633661      0.0399369
    3648.9889053202846299      0.0444664
    3652.0079796532049841      0.0392215
    3655.0270539861585348      0.0350462
    3658.0461283190793438      0.0276213
    3661.0652026520333493      0.0350608
    3664.0842769849537035      0.0357558
    3667.1033513178413159      0.0457119
    3670.1224256507948667      0.0371199
    3673.1414999837488722      0.0527040
    3676.1605743166696811      0.0215853
    3679.1796486496236867      0.0324976
    3682.1987229825440409      0.0500422
    3685.2177973154980464      0.0405253
    3688.2368716483852040      0.0446770
    3691.2559459813392095      0.0454956
    3694.2750203142600185      0.0368922
    3697.2940946472140240      0.0392911
    3700.3131689801343782      0.0329916
    3703.3322433130879290      0.0391266
    3706.3513176460087379      0.0370878
    3709.3703919788963503      0.0375098
    3712.3894663118499011      0.0343655
    3715.4085406448039066      0.0324909
    3718.4276149777242608      0.0391970
    3721.4466893106782663      0.0453023
    3724.4657636435990753      0.0370310
    3727.4848379764862329      0.0259358
    3730.5039123094402385      0.0342178
